
   Bytes sent (11545769)   |   Avg RTT (ms)   |   Estimated RTT (ms)   |   Avg Bandwidth (KB/s)   |   Estimated Bandwidth (KB/s)   
           1024         |       0.04       |              0.05        |            26065.45        |               20859.85   
           1024         |       0.04       |              0.04        |            26158.55        |               23839.83   
           1024         |       0.04       |              0.04        |            26251.64        |               27245.52   
           1024         |       0.04       |              0.03        |            26344.73        |               31137.73   
           1024         |       0.04       |              0.03        |            26437.82        |               35585.98   
           1024         |       0.04       |              0.03        |            26530.91        |               40669.69   
           1024         |       0.04       |              0.02        |            26624.00        |               46479.65   
           1024         |       0.04       |              0.14        |            24490.67        |                7097.45   
           1024         |       0.04       |              0.25        |            22685.54        |                4075.74   
           1024         |       0.04       |              0.22        |            22764.31        |                4657.99   
           1024         |       0.04       |              0.19        |            22843.08        |                5323.42   
           1024         |       0.04       |              0.17        |            22921.85        |                6083.91   
           1024         |       0.04       |              0.15        |            23000.62        |                6953.04   
           1024         |       0.04       |              0.13        |            23079.38        |                7946.33   
           1024         |       0.04       |              0.11        |            23158.15        |                9081.52   
           1024         |       0.04       |              0.10        |            23236.92        |               10378.88   
           1024         |       0.04       |              0.09        |            23315.69        |               11861.57   
           1024         |       0.04       |              0.08        |            23394.46        |               13556.08   
           1024         |       0.04       |              0.07        |            23473.23        |               15492.67   
           1024         |       0.04       |              0.06        |            23552.00        |               17705.90   
           1024         |       0.04       |              0.05        |            23630.77        |               20235.32   
           1024         |       0.04       |              0.04        |            23709.54        |               23126.08   
           1024         |       0.04       |              0.04        |            23788.31        |               26429.80   
           1024         |       0.04       |              0.03        |            23867.08        |               30205.49   
           1024         |       0.04       |              0.03        |            23945.85        |               34520.56   
           1024         |       0.04       |              0.03        |            24024.62        |               39452.07   
           1024         |       0.04       |              0.02        |            24103.38        |               45088.08   
           1024         |       0.04       |              0.02        |            24182.15        |               51529.23   
           1024         |       0.04       |              0.02        |            24260.92        |               58890.55   
           1024         |       0.05       |              0.14        |            22601.14        |                7303.09   
           1024         |       0.05       |              0.25        |            21162.67        |                4134.24   
           1024         |       0.05       |              0.22        |            21230.93        |                4724.84   
           1024         |       0.05       |              0.19        |            21299.20        |                5399.82   
           1024         |       0.05       |              0.17        |            21367.47        |                6171.22   
           1024         |       0.05       |              0.15        |            21435.73        |                7052.82   
           1024         |       0.05       |              0.13        |            21504.00        |                8060.37   
           1024         |       0.05       |              0.11        |            21572.27        |                9211.85   
           1024         |       0.05       |              0.10        |            21640.53        |               10527.83   
           1024         |       0.05       |              0.09        |            21708.80        |               12031.81   
           1024         |       0.05       |              0.07        |            21777.07        |               13750.64   
           1024         |       0.05       |              0.07        |            21845.33        |               15715.01   
           1024         |       0.05       |              0.06        |            21913.60        |               17960.02   
           1024         |       0.05       |              0.05        |            21981.87        |               20525.73   
           1024         |       0.05       |              0.04        |            22050.13        |               23457.98   
           1024         |       0.05       |              0.04        |            22118.40        |               26809.12   
           1024         |       0.05       |              0.16        |            20800.00        |                6463.77   
           1024         |       0.05       |              0.14        |            20864.00        |                7387.17   
           1024         |       0.05       |              0.12        |            20928.00        |                8442.48   
           1024         |       0.05       |              0.11        |            20992.00        |                9648.54   
           1024         |       0.05       |              0.09        |            21056.00        |               11026.91   
           1024         |       0.05       |              0.08        |            21120.00        |               12602.18   
           1024         |       0.05       |              0.07        |            21184.00        |               14402.49   
           1024         |       0.05       |              0.06        |            21248.00        |               16459.99   
           1024         |       0.05       |              0.18        |            20058.35        |                5706.80   
           1024         |       0.05       |              0.16        |            20118.59        |                6522.06   
           1024         |       0.05       |              0.14        |            20178.82        |                7453.78   
           1024         |       0.05       |              0.12        |            20239.06        |                8518.61   
           1024         |       0.05       |              0.11        |            20299.29        |                9735.55   
           1024         |       0.05       |              0.09        |            20359.53        |               11126.34   
           1024         |       0.05       |              0.08        |            20419.76        |               12715.82   
           1024         |       0.05       |              0.07        |            20480.00        |               14532.37   
           1024         |       0.05       |              0.06        |            20540.24        |               16608.42   
           1024         |       0.05       |              0.05        |            20600.47        |               18981.05   
           1024         |       0.05       |              0.05        |            20660.71        |               21692.63   
           1024         |       0.05       |              0.04        |            20720.94        |               24791.58   
           1024         |       0.05       |              0.04        |            20781.18        |               28333.23   
           1024         |       0.05       |              0.03        |            20841.41        |               32380.83   
           1024         |       0.05       |              0.03        |            20901.65        |               37006.67   
           1024         |       0.05       |              0.02        |            20961.88        |               42293.34   
           1024         |       0.05       |              0.02        |            21022.12        |               48335.24   
           1024         |       0.05       |              0.02        |            21082.35        |               55240.27   
           1024         |       0.05       |              0.02        |            21142.59        |               63131.74   
           1024         |       0.05       |              0.01        |            21202.82        |               72150.56   
           1024         |       0.05       |              0.01        |            21263.06        |               82457.79   
